x utau delta99 delta* theta beta Ue Reth 
2.95898438e+02 4.73310300e-02 1.03589629e+01 2.02066312e+00 1.29176961e+00 2.81586561e-01 9.67160754e-01 5.62206991e+02
2.97363281e+02 4.72636668e-02 1.03963423e+01 2.03252321e+00 1.30025415e+00 2.88180234e-01 9.66694473e-01 5.65626828e+02
2.98828125e+02 4.71962941e-02 1.04337352e+01 2.04135492e+00 1.30577983e+00 2.94349342e-01 9.66192224e-01 5.67735445e+02
3.00292969e+02 4.71290840e-02 1.04709084e+01 2.05028784e+00 1.31136167e+00 3.00584051e-01 9.65687475e-01 5.69864494e+02
3.01757812e+02 4.70625966e-02 1.05079260e+01 2.05932835e+00 1.31700208e+00 3.06877948e-01 9.65180792e-01 5.72015300e+02
3.03222656e+02 4.69959665e-02 1.05448170e+01 2.06847942e+00 1.32269977e+00 3.13255891e-01 9.64672392e-01 5.74187379e+02
3.04687500e+02 4.69273593e-02 1.05815986e+01 2.07774217e+00 1.32845333e+00 3.19774445e-01 9.64162286e-01 5.76380068e+02
3.06152344e+02 4.68566199e-02 1.06182702e+01 2.08711752e+00 1.33426291e+00 3.26421225e-01 9.63650467e-01 5.78593386e+02
3.07617188e+02 4.67846801e-02 1.06548944e+01 2.09661211e+00 1.34013408e+00 3.33176328e-01 9.63137574e-01 5.80830069e+02
3.09082031e+02 4.67124313e-02 1.06914963e+01 2.10622790e+00 1.34606958e+00 3.40065734e-01 9.62623755e-01 5.83091350e+02
3.10546875e+02 4.66393347e-02 1.07280418e+01 2.11596259e+00 1.35206852e+00 3.47117060e-01 9.62108695e-01 5.85376597e+02
3.12011719e+02 4.65656606e-02 1.07680490e+01 2.12854987e+00 1.36094357e+00 3.54998283e-01 9.61554994e-01 5.88879940e+02
3.13476562e+02 4.64932034e-02 1.08070381e+01 2.13818671e+00 1.36688451e+00 3.62221120e-01 9.60984138e-01 5.91099450e+02
3.14941406e+02 4.64215101e-02 1.08459366e+01 2.14794710e+00 1.37289434e+00 3.69529368e-01 9.60411710e-01 5.93344708e+02
3.16406250e+02 4.63482508e-02 1.08847689e+01 2.15783400e+00 1.37897294e+00 3.76996875e-01 9.59837963e-01 5.95615758e+02
3.17871094e+02 4.62731594e-02 1.09235111e+01 2.16784664e+00 1.38511910e+00 3.84629558e-01 9.59262760e-01 5.97911928e+02
3.19335938e+02 4.61972332e-02 1.09621645e+01 2.17798623e+00 1.39133387e+00 3.92342986e-01 9.58686168e-01 6.00233643e+02
3.20800781e+02 4.61215693e-02 1.10007483e+01 2.18825381e+00 1.39761747e+00 4.00114937e-01 9.58108265e-01 6.02580984e+02
3.22265625e+02 4.60461727e-02 1.10392660e+01 2.19864958e+00 1.40396753e+00 4.08001259e-01 9.57529043e-01 6.04952859e+02
3.23730469e+02 4.59690882e-02 1.10777175e+01 2.20917465e+00 1.41038237e+00 4.16019332e-01 9.56948595e-01 6.07348541e+02
3.25195312e+02 4.58895870e-02 1.11189960e+01 2.22270037e+00 1.41977140e+00 4.25057214e-01 9.56344805e-01 6.11005950e+02
3.26660156e+02 4.58083645e-02 1.11602654e+01 2.23315041e+00 1.42613389e+00 4.33264153e-01 9.55710104e-01 6.13336757e+02
3.28125000e+02 4.57262174e-02 1.12013249e+01 2.24373203e+00 1.43256635e+00 4.41577638e-01 9.55073685e-01 6.15692891e+02
3.29589844e+02 4.56444405e-02 1.12421995e+01 2.25444560e+00 1.43906887e+00 4.49984007e-01 9.54435562e-01 6.18074326e+02
3.31054688e+02 4.55632779e-02 1.12829903e+01 2.26529935e+00 1.44564664e+00 4.58467069e-01 9.53796577e-01 6.20483769e+02
3.32519531e+02 4.54821821e-02 1.13237855e+01 2.27630296e+00 1.45230585e+00 4.67009393e-01 9.53157711e-01 6.22924432e+02
3.33984375e+02 4.54003508e-02 1.13645829e+01 2.28745885e+00 1.45904758e+00 4.75669181e-01 9.52519210e-01 6.25396882e+02
3.35449219e+02 4.53182256e-02 1.14053197e+01 2.29876292e+00 1.46586862e+00 4.84457401e-01 9.51880701e-01 6.27899421e+02
3.36914062e+02 4.52364205e-02 1.14460176e+01 2.31021550e+00 1.47276852e+00 4.93351005e-01 9.51242307e-01 6.30431877e+02
3.38378906e+02 4.51549530e-02 1.14897959e+01 2.32468558e+00 1.48267451e+00 5.03489758e-01 9.50576339e-01 6.34227887e+02
3.39843750e+02 4.50740058e-02 1.15333144e+01 2.33604702e+00 1.48951722e+00 5.12507257e-01 9.49881952e-01 6.36689485e+02
3.41308594e+02 4.49939191e-02 1.15766220e+01 2.34754872e+00 1.49643544e+00 5.21581788e-01 9.49186385e-01 6.39178264e+02
3.42773438e+02 4.49133517e-02 1.16197907e+01 2.35919713e+00 1.50343190e+00 5.30737741e-01 9.48490351e-01 6.41695792e+02
