x utau delta99 delta* theta beta Ue Reth 
3.01757812e+02 4.78958087e-02 1.03576335e+01 1.99122841e+00 1.27783831e+00 2.11571610e-01 9.70945620e-01 5.58320178e+02
3.03222656e+02 4.78371945e-02 1.03906147e+01 1.99910811e+00 1.28285316e+00 2.15464481e-01 9.70571692e-01 5.60295432e+02
3.04687500e+02 4.77792126e-02 1.04234106e+01 2.00705299e+00 1.28790409e+00 2.19428738e-01 9.70197091e-01 5.62284362e+02
3.06152344e+02 4.77225586e-02 1.04560099e+01 2.01506056e+00 1.29299088e+00 2.23458090e-01 9.69821505e-01 5.64286662e+02
3.07617188e+02 4.76668316e-02 1.04884912e+01 2.02313643e+00 1.29811769e+00 2.27533853e-01 9.69445521e-01 5.66304473e+02
3.09082031e+02 4.76112949e-02 1.05232646e+01 2.03440655e+00 1.30640304e+00 2.32179878e-01 9.69061108e-01 5.69692968e+02
3.10546875e+02 4.75552696e-02 1.05585432e+01 2.04234560e+00 1.31145475e+00 2.36346619e-01 9.68638375e-01 5.71646427e+02
3.12011719e+02 4.74985659e-02 1.05936649e+01 2.05036252e+00 1.31655298e+00 2.40561287e-01 9.68215669e-01 5.73618250e+02
3.13476562e+02 4.74418312e-02 1.06286376e+01 2.05845651e+00 1.32169644e+00 2.44801315e-01 9.67792876e-01 5.75607781e+02
3.14941406e+02 4.73854879e-02 1.06634622e+01 2.06662774e+00 1.32688391e+00 2.49093868e-01 9.67369984e-01 5.77614448e+02
3.16406250e+02 4.73286447e-02 1.06981781e+01 2.07488064e+00 1.33211678e+00 2.53438999e-01 9.66947417e-01 5.79639096e+02
3.17871094e+02 4.72705733e-02 1.07328127e+01 2.08321863e+00 1.33739601e+00 2.57828308e-01 9.66525473e-01 5.81682291e+02
3.19335938e+02 4.72111596e-02 1.07673518e+01 2.09164106e+00 1.34272029e+00 2.62253883e-01 9.66104020e-01 5.83743360e+02
3.20800781e+02 4.71505715e-02 1.08018028e+01 2.10014915e+00 1.34809033e+00 2.66719299e-01 9.65683133e-01 5.85822642e+02
3.22265625e+02 4.70893160e-02 1.08362033e+01 2.10874701e+00 1.35350949e+00 2.71225616e-01 9.65263216e-01 5.87921815e+02
3.23730469e+02 4.70287543e-02 1.08705916e+01 2.11743811e+00 1.35898097e+00 2.75793977e-01 9.64844647e-01 5.90042483e+02
3.25195312e+02 4.69697243e-02 1.09067931e+01 2.12944135e+00 1.36769812e+00 2.81030194e-01 9.64426572e-01 5.93569985e+02
3.26660156e+02 4.69110636e-02 1.09441821e+01 2.13799955e+00 1.37309145e+00 2.85644504e-01 9.63960894e-01 5.95622908e+02
3.28125000e+02 4.68512704e-02 1.09813745e+01 2.14664456e+00 1.37853016e+00 2.90285338e-01 9.63495322e-01 5.97693314e+02
