x utau delta99 delta* theta beta Ue Reth 
3.28125000e+02 4.45178832e-02 1.14853488e+01 2.34301408e+00 1.48936560e+00 5.11048902e-01 9.37041427e-01 6.28018769e+02
3.29589844e+02 4.44418956e-02 1.15278059e+01 2.35449337e+00 1.49631508e+00 5.18367022e-01 9.36371412e-01 6.30497999e+02
3.31054688e+02 4.43642336e-02 1.15700222e+01 2.36610021e+00 1.50332657e+00 5.25758454e-01 9.35703110e-01 6.33000308e+02
3.32519531e+02 4.42845615e-02 1.16121581e+01 2.37784235e+00 1.51040693e+00 5.33363182e-01 9.35037402e-01 6.35529139e+02
3.33984375e+02 4.42046949e-02 1.16540778e+01 2.38970729e+00 1.51754894e+00 5.41110806e-01 9.34373151e-01 6.38080644e+02
3.35449219e+02 4.41255033e-02 1.16991543e+01 2.40468798e+00 1.52780942e+00 5.49991614e-01 9.33681942e-01 6.41919632e+02
3.36914062e+02 4.40472384e-02 1.17441219e+01 2.41640186e+00 1.53485931e+00 5.57660022e-01 9.32964708e-01 6.44386307e+02
3.38378906e+02 4.39701805e-02 1.17889067e+01 2.42825550e+00 1.54198494e+00 5.65357553e-01 9.32250027e-01 6.46881975e+02
3.39843750e+02 4.38933847e-02 1.18334775e+01 2.44024461e+00 1.54918128e+00 5.73101908e-01 9.31537456e-01 6.49404175e+02
3.41308594e+02 4.38155613e-02 1.18779155e+01 2.45238115e+00 1.55645554e+00 5.80915266e-01 9.30828140e-01 6.51956677e+02
3.42773438e+02 4.37367934e-02 1.19223390e+01 2.46467892e+00 1.56381601e+00 5.88895346e-01 9.30123447e-01 6.54543874e+02
3.44238281e+02 4.36569708e-02 1.19664236e+01 2.47710257e+00 1.57123774e+00 5.97068353e-01 9.29420110e-01 6.57152977e+02
3.45703125e+02 4.35751099e-02 1.20100980e+01 2.48964165e+00 1.57871397e+00 6.05337781e-01 9.28717243e-01 6.59780498e+02
3.47167969e+02 4.34909768e-02 1.20537577e+01 2.50233933e+00 1.58627390e+00 6.13692304e-01 9.28019046e-01 6.62441577e+02
3.48632812e+02 4.34072232e-02 1.21017198e+01 2.51811027e+00 1.59695439e+00 6.23511822e-01 9.27281203e-01 6.66371606e+02
3.50097656e+02 4.33242733e-02 1.21483915e+01 2.53064121e+00 1.60441253e+00 6.31991930e-01 9.26529292e-01 6.68940843e+02
